word	cl100k	o200k	saved	score_per_1M	freq_per_1M
february	2	2	1	107.0	107.0
jesus	2	2	1	97.7	97.7
russia	2	2	1	85.1	85.1
scottish	3	3	2	79.6	39.8
mrs	2	2	1	77.6	77.6
robert	1	2	1	70.8	70.8
thomas	2	2	1	69.2	69.2
chris	2	2	1	64.6	64.6
richard	2	2	1	61.7	61.7
charles	2	2	1	58.9	58.9
henry	2	2	1	55.0	55.0
jones	2	2	1	53.7	53.7
britain	2	2	1	52.5	52.5
harry	2	2	1	52.5	52.5
johnson	2	2	1	52.5	52.5
scott	2	2	1	52.5	52.5
steve	2	2	1	51.3	51.3
scotland	2	2	1	47.9	47.9
boston	2	2	1	46.8	46.8
williams	2	2	1	46.8	46.8
chelsea	2	3	2	44.8	22.4
taylor	2	2	1	44.7	44.7
tony	2	2	1	43.7	43.7
tuesday	2	2	1	42.7	42.7
daniel	2	2	1	41.7	41.7
thursday	2	2	1	41.7	41.7
virginia	2	2	1	41.7	41.7
minnesota	2	3	2	40.8	20.4
wales	2	2	1	39.8	39.8
pacific	2	2	1	38.9	38.9
ryan	2	2	1	38.9	38.9
spain	2	2	1	38.9	38.9
wednesday	2	2	1	38.9	38.9
thompson	2	3	2	38.2	19.1
andrew	2	2	1	37.2	37.2
bbc	1	2	1	37.2	37.2
clinton	2	2	1	37.2	37.2
cleveland	2	3	2	37.2	18.6
kevin	2	2	1	36.3	36.3
democrats	2	2	1	34.7	34.7
irish	2	2	1	34.7	34.7
michigan	2	2	1	34.7	34.7
soviet	3	2	1	34.7	34.7
francisco	2	2	1	33.9	33.9
manchester	2	2	1	33.9	33.9
sydney	2	2	1	33.9	33.9
wilson	2	2	1	33.9	33.9
carolina	2	2	1	33.1	33.1
edward	2	2	1	33.1	33.1
joseph	2	2	1	33.1	33.1
hawaii	2	3	2	32.4	16.2
miller	2	2	1	31.6	31.6
republicans	2	2	1	31.6	31.6
stephen	2	2	1	31.6	31.6
zealand	2	2	1	31.6	31.6
jennifer	2	3	2	31.0	15.5
davis	2	2	1	30.9	30.9
eric	2	2	1	30.9	30.9
olympic	3	2	1	30.9	30.9
toronto	2	2	1	30.9	30.9
howard	2	2	1	30.2	30.2
lewis	2	2	1	30.2	30.2
sarah	2	2	1	30.2	30.2
simon	2	2	1	30.2	30.2
jessica	3	3	2	29.6	14.8
elizabeth	2	2	1	29.5	29.5
jews	2	2	1	29.5	29.5
miami	2	2	1	29.5	29.5
roberts	2	3	2	29.0	14.5
russians	2	3	2	29.0	14.5
ceo	2	2	1	28.8	28.8
donald	2	2	1	28.8	28.8
georgia	2	2	1	28.8	28.8
jason	2	2	1	28.8	28.8
jeff	2	2	1	28.2	28.2
olympics	3	2	1	28.2	28.2
rome	2	2	1	28.2	28.2
dave	2	2	1	27.5	27.5
harris	2	2	1	27.5	27.5
illinois	2	2	1	27.5	27.5
islamic	2	2	1	27.5	27.5
jimmy	2	2	1	27.5	27.5
kelly	2	2	1	27.5	27.5
muslims	2	2	1	27.5	27.5
pittsburgh	3	3	2	27.0	13.5
andy	2	2	1	26.9	26.9
charlie	2	2	1	26.9	26.9
fbi	2	2	1	26.9	26.9
iraq	2	2	1	26.9	26.9
liverpool	2	2	1	26.9	26.9
dallas	2	2	1	26.3	26.3
houston	2	2	1	26.3	26.3
morgan	2	2	1	26.3	26.3
moscow	2	2	1	26.3	26.3
philadelphia	2	2	1	26.3	26.3
anthony	2	2	1	25.7	25.7
arthur	2	2	1	25.7	25.7
colonel	2	2	1	25.7	25.7
dutch	2	2	1	25.7	25.7
alexander	2	2	1	25.1	25.1
columbia	2	2	1	25.1	25.1
israeli	3	2	1	25.1	25.1
pennsylvania	2	2	1	25.1	25.1
sweden	2	2	1	25.1	25.1
syria	2	2	1	25.1	25.1
atlantic	2	2	1	24.5	24.5
cambridge	2	2	1	24.5	24.5
francis	2	2	1	24.5	24.5
gary	2	2	1	24.5	24.5
roger	2	2	1	24.5	24.5
seattle	2	2	1	24.5	24.5
arizona	2	2	1	24.0	24.0
clark	2	2	1	24.0	24.0
oxford	2	2	1	24.0	24.0
atlanta	2	2	1	23.4	23.4
christians	2	2	1	23.4	23.4
gordon	2	2	1	23.4	23.4
kansas	2	2	1	23.4	23.4
matthew	2	2	1	23.4	23.4
patrick	2	2	1	23.4	23.4
wayne	2	2	1	23.4	23.4
nigerian	3	3	2	23.0	11.5
anderson	2	2	1	22.9	22.9
austin	2	2	1	22.9	22.9
diego	2	2	1	22.9	22.9
melbourne	2	2	1	22.9	22.9
walter	2	2	1	22.9	22.9
wisconsin	2	2	1	22.9	22.9
carter	2	2	1	22.4	22.4
detroit	2	2	1	22.4	22.4
johnny	2	2	1	22.4	22.4
josh	2	2	1	22.4	22.4
lgbt	3	3	2	22.0	11.0
bruce	2	2	1	21.9	21.9
commonwealth	2	2	1	21.9	21.9
billy	2	2	1	21.4	21.4
fuckin	2	2	1	21.4	21.4
iowa	2	2	1	21.4	21.4
russell	2	2	1	21.4	21.4
phillips	3	3	2	21.4	10.7
ian	2	2	1	20.9	20.9
justin	2	2	1	20.9	20.9
rick	2	2	1	20.9	20.9
ukraine	2	2	1	20.9	20.9
hamilton	2	2	1	20.4	20.4
indiana	2	2	1	20.4	20.4
jonathan	2	2	1	20.4	20.4
lawrence	2	2	1	20.4	20.4
lincoln	2	2	1	20.4	20.4
massachusetts	2	2	1	20.4	20.4
oscar	2	2	1	20.4	20.4
saudi	2	2	1	20.4	20.4
bradley	3	3	2	20.4	10.2
hampshire	3	3	2	20.4	10.2
lebanon	3	3	2	20.4	10.2
graham	2	2	1	20.0	20.0
hillary	2	2	1	20.0	20.0
kentucky	3	2	1	20.0	20.0
oregon	2	2	1	20.0	20.0
celtic	3	3	2	20.0	10.0
jefferson	3	3	2	20.0	10.0
delhi	2	2	1	19.5	19.5
goddamn	2	3	2	19.5	9.77
edinburgh	2	2	1	19.1	19.1
greece	2	2	1	19.1	19.1
kennedy	2	2	1	19.1	19.1
larry	2	2	1	19.1	19.1
lmao	3	2	1	19.1	19.1
moore	2	2	1	19.1	19.1
netherlands	2	2	1	19.1	19.1
philip	2	2	1	19.1	19.1
turkish	2	2	1	19.1	19.1
nashville	3	3	2	19.1	9.55
nebraska	2	3	2	19.1	9.55
isis	2	2	1	18.6	18.6
maryland	2	2	1	18.6	18.6
murray	2	2	1	18.6	18.6
oklahoma	2	2	1	18.6	18.6
tokyo	3	2	1	18.6	18.6
alabama	2	2	1	18.2	18.2
barry	2	2	1	18.2	18.2
cameron	2	2	1	18.2	18.2
jerry	2	2	1	18.2	18.2
missouri	2	2	1	18.2	18.2
warren	2	2	1	18.2	18.2
adams	2	2	1	17.8	17.8
brooklyn	2	2	1	17.8	17.8
danny	2	2	1	17.8	17.8
indians	2	2	1	17.8	17.8
khan	2	2	1	17.8	17.8
stewart	2	2	1	17.8	17.8
frederick	2	3	2	17.8	8.91
mcdonald	3	4	3	17.7	5.89
albert	2	2	1	17.4	17.4
carl	2	2	1	17.4	17.4
harvard	2	2	1	17.4	17.4
laura	2	2	1	17.4	17.4
marshall	2	2	1	17.4	17.4
mitchell	3	2	1	17.4	17.4
nelson	2	2	1	17.4	17.4
poland	2	2	1	17.4	17.4
steven	2	2	1	17.4	17.4
susan	2	2	1	17.4	17.4
terry	2	2	1	17.4	17.4
aaron	2	2	1	17.0	17.0
afghanistan	3	2	1	17.0	17.0
barcelona	1	2	1	17.0	17.0
brazilian	2	2	1	17.0	17.0
campbell	2	2	1	17.0	17.0
denver	2	2	1	17.0	17.0
emma	2	2	1	17.0	17.0
jacob	2	2	1	17.0	17.0
margaret	2	2	1	17.0	17.0
queensland	2	2	1	17.0	17.0
rangers	2	2	1	17.0	17.0
switzerland	2	2	1	17.0	17.0
utah	2	2	1	17.0	17.0
baltimore	2	2	1	16.6	16.6
batman	2	2	1	16.6	16.6
bobby	2	2	1	16.6	16.6
charlotte	2	2	1	16.6	16.6
christopher	2	2	1	16.6	16.6
eagles	2	2	1	16.6	16.6
evans	2	2	1	16.6	16.6
gop	2	2	1	16.6	16.6
oliver	2	2	1	16.6	16.6
perry	2	2	1	16.6	16.6
ugh	2	2	1	16.6	16.6
wtf	2	2	1	16.6	16.6
joshua	3	3	2	16.6	8.32
richardson	3	3	2	16.3	8.13
douglas	2	2	1	16.2	16.2
egyptian	3	2	1	16.2	16.2
franklin	2	2	1	16.2	16.2
ontario	2	2	1	16.2	16.2
orleans	2	2	1	16.2	16.2
robinson	2	2	1	16.2	16.2
swedish	2	2	1	16.2	16.2
tennessee	2	2	1	16.2	16.2
bulgaria	3	3	2	15.9	7.94
jeffrey	3	3	2	15.9	7.94
barbara	2	2	1	15.8	15.8
germans	2	2	1	15.8	15.8
jerusalem	2	2	1	15.8	15.8
wright	2	2	1	15.8	15.8
christianity	2	2	1	15.5	15.5
glasgow	3	2	1	15.5	15.5
helen	2	2	1	15.5	15.5
louisiana	2	2	1	15.5	15.5
marie	2	2	1	15.5	15.5
mississippi	2	2	1	15.5	15.5
samuel	2	2	1	15.5	15.5
stanley	2	2	1	15.5	15.5
turner	2	2	1	15.5	15.5
indonesian	3	3	2	15.5	7.76
rodriguez	4	4	3	15.4	5.13
belfast	2	3	2	15.2	7.59
ferguson	2	3	2	15.2	7.59
birmingham	2	2	1	15.1	15.1
craig	2	2	1	15.1	15.1
earl	2	2	1	15.1	15.1
portland	2	2	1	15.1	15.1
tbh	2	2	1	15.1	15.1
ukrainian	4	2	1	15.1	15.1
watson	2	2	1	15.1	15.1
antonio	2	2	1	14.8	14.8
idk	2	2	1	14.8	14.8
jake	2	2	1	14.8	14.8
jamie	2	2	1	14.8	14.8
keith	2	2	1	14.8	14.8
madison	2	2	1	14.8	14.8
tyler	2	2	1	14.8	14.8
beverly	3	3	2	14.8	7.41
morrison	3	3	2	14.8	7.41
robertson	2	3	2	14.8	7.41
benjamin	2	2	1	14.5	14.5
blake	2	2	1	14.5	14.5
hitler	2	2	1	14.5	14.5
iranian	2	2	1	14.5	14.5
maine	2	2	1	14.5	14.5
manhattan	2	2	1	14.5	14.5
michelle	2	2	1	14.5	14.5
mps	2	2	1	14.5	14.5
tommy	2	2	1	14.5	14.5
vancouver	2	2	1	14.5	14.5
belgium	2	2	1	14.1	14.1
collins	2	2	1	14.1	14.1
harvey	2	2	1	14.1	14.1
jeremy	2	2	1	14.1	14.1
morris	2	2	1	14.1	14.1
rachel	2	2	1	14.1	14.1
tigers	2	2	1	14.1	14.1
welsh	2	2	1	14.1	14.1
cbs	2	2	1	13.8	13.8
eddie	2	2	1	13.8	13.8
emily	2	2	1	13.8	13.8
kyle	2	2	1	13.8	13.8
nancy	2	2	1	13.8	13.8
norman	2	2	1	13.8	13.8
syrian	2	2	1	13.8	13.8
vincent	2	2	1	13.8	13.8
malaysian	3	3	2	13.8	6.92
chancellor	1	2	1	13.5	13.5
murphy	2	2	1	13.5	13.5
nathan	2	2	1	13.5	13.5
putin	2	2	1	13.5	13.5
stuart	2	2	1	13.5	13.5
arabia	2	2	1	13.2	13.2
beijing	2	2	1	13.2	13.2
brad	2	2	1	13.2	13.2
caribbean	2	2	1	13.2	13.2
easter	2	2	1	13.2	13.2
juan	2	2	1	13.2	13.2
julia	2	2	1	13.2	13.2
richmond	2	2	1	13.2	13.2
victorian	2	2	1	13.2	13.2
ashley	2	2	1	12.9	12.9
catherine	2	2	1	12.9	12.9
connecticut	2	2	1	12.9	12.9
palestinian	2	2	1	12.9	12.9
potter	2	2	1	12.9	12.9
sergeant	1	2	1	12.9	12.9
warner	2	2	1	12.9	12.9
bulgarian	3	3	2	12.9	6.46
stephanie	3	3	2	12.9	6.46
dennis	2	2	1	12.6	12.6
outta	2	2	1	12.6	12.6
ralph	2	2	1	12.6	12.6
eugene	3	3	2	12.6	6.31
carlos	2	2	1	12.3	12.3
colin	2	2	1	12.3	12.3
dakota	2	2	1	12.3	12.3
julie	2	2	1	12.3	12.3
karen	2	2	1	12.3	12.3
lucas	2	2	1	12.3	12.3
marcus	2	2	1	12.3	12.3
rogers	2	2	1	12.3	12.3
elliott	3	3	2	12.3	6.17
phillip	3	3	2	12.3	6.17
vatican	2	3	2	12.3	6.17
thomson	3	3	2	12.1	6.03
broadway	2	2	1	12.0	12.0
butler	2	2	1	12.0	12.0
dubai	2	2	1	12.0	12.0
dublin	2	2	1	12.0	12.0
harrison	2	2	1	12.0	12.0
hughes	3	2	1	12.0	12.0
lords	1	2	1	12.0	12.0
nintendo	2	2	1	12.0	12.0
alexandria	3	3	2	11.8	5.89
charleston	2	3	2	11.8	5.89
mccain	2	3	2	11.8	5.89
austria	2	2	1	11.7	11.7
lucy	2	2	1	11.7	11.7
montreal	2	2	1	11.7	11.7
newcastle	2	2	1	11.7	11.7
spencer	2	2	1	11.7	11.7
bailey	2	2	1	11.5	11.5
holmes	2	2	1	11.5	11.5
sierra	2	2	1	11.5	11.5
maurice	2	3	2	11.5	5.75
philippine	3	3	2	11.5	5.75
arkansas	2	2	1	11.2	11.2
clarke	2	2	1	11.2	11.2
dylan	2	2	1	11.2	11.2
hannah	2	2	1	11.2	11.2
majesty	2	2	1	11.2	11.2
milan	1	2	1	11.2	11.2
montana	2	2	1	11.2	11.2
nyc	2	2	1	11.2	11.2
owen	2	2	1	11.2	11.2
wallace	2	2	1	11.2	11.2
bradford	3	3	2	11.2	5.62
kashmir	3	3	2	11.2	5.62
mohammed	3	3	2	11.2	5.62
ronaldo	3	3	2	11.2	5.62
brooks	2	2	1	11.0	11.0
columbus	2	2	1	11.0	11.0
